road_user_class,deaths,share_pct,source_period
Pedestrians,824,39.5,pre-2019 (NRSC release; predates Brong Ahafo split)
Motorcycle users,437,21.0,pre-2019 (NRSC release; predates Brong Ahafo split)
Bus occupants,364,17.5,pre-2019 (NRSC release; predates Brong Ahafo split)
